DRUG2,Abacavir,Acyclovir,Adefovir,Adefovir dipivoxil,Amantadine,Amprenavir,Asunaprevir,Atazanavir,Baloxavir marboxil,Beclabuvir,Bictegravir,Boceprevir,Brivudine,Calanolide A,Carmofur,Chloroquine,Cidofovir,Clevudine,Cobicistat,Daclatasvir,Darunavir,Dasabuvir,Delavirdine,Dexamethasone,Didanosine,Docosanol,Dolutegravir,Doravirine,Edoxudine,Efavirenz,Elbasvir,Elvitegravir,Elvucitabine,Emtricitabine,Enfuvirtide,Entecavir,Etravirine,Faldaprevir,Famciclovir,Favipiravir,Fomivirsen,Fosamprenavir,Foscarnet,Ganciclovir,Geldanamycin,Glecaprevir,Grazoprevir,Hydroxychloroquine,Ibalizumab,Ibuprofen,Idoxuridine,Imiquimod,Indinavir,Inosine pranobex,Interferon alfa,"Interferon alfa-2a, Recombinant",Interferon alfa-n1,Interferon alfacon-1,Interferon beta-1a,Lamivudine,Laninamivir,Laninamivir octanoate,Ledipasvir,Leronlimab,Letermovir,Lopinavir,Maraviroc,Maribavir,Metisazone,Moroxydine,Nelfinavir,Nevirapine,Ombitasvir,Oseltamivir,Palivizumab,Paritaprevir,Peginterferon alfa-2a,Peginterferon alfa-2b,Peginterferon alfacon-1,Penciclovir,Peramivir,Phosphonoacetic Acid,Pibrentasvir,Pleconaril,Podofilox,Raltegravir,Remdesivir,Ribavirin,Rilpivirine,Rimantadine,Ritonavir,Saquinavir,Simeprevir,Sinecatechins,Sofosbuvir,Stavudine,Taribavirin,Tecovirimat,Tegobuvir,Telaprevir,Telbivudine,Tenofovir,Tenofovir alafenamide,Tenofovir disoproxil,Tenofovir disoproxil fumarate,Tipranavir,Triazavirin,Trifluridine,Tromantadine,UC-781,Umifenovir,Valaciclovir,Valganciclovir,Valomaciclovir,Vaniprevir,Velpatasvir,Vidarabine,Voxilaprevir,Zalcitabine,Zanamivir,Zidovudine
Laninamivir,0.283422,0.073298,0.0,0.0,0.0,0.148776,0.180867,0.161388,0.0,0.164179,0.219512,0.133094,0.119593,0.156317,0.173184,0.042129,0.099476,0.125654,0.137309,0.096433,0.116838,0.0,0.134615,0.172708,0.116883,0.207349,0.1875,0.0,0.122715,0.0,0.120092,0.175258,0.120219,0.096257,0.0,0.138614,0.0,0.170068,0.036717,0.083591,0.0,0.136364,0.071429,0.122715,0.1883,0.115336,0.161826,0.041215,0.0,0.242038,0.122995,0.045131,0.145997,0.139665,0.0,0.0,0.0,0.0,0.0,0.101928,1.0,0.716867,0.079295,0.0,0.210526,0.17175,0.076159,0.106195,0.051282,0.118012,0.145299,0.0,0.0,0.415385,0.0,0.131579,0.063348,0.174242,0.0,0.096939,0.535948,0.099291,0.088632,0.0,0.119691,0.137255,0.146179,0.217391,0.0,0.0,0.164902,0.125731,0.112619,0.0,0.097345,0.120219,0.193182,0.195652,0.0,0.107914,0.126005,0.065375,0.047957,0.04712,0.122278,0.109325,0.0,0.116625,0.274238,0.0,0.0,0.078652,0.121076,0.112903,0.126374,0.103527,0.119403,0.140684,0.126761,0.950207,0.139896
Laninamivir octanoate,0.197479,0.020408,0.019608,0.019608,0.0,0.164725,0.19403,0.173261,0.04,0.144737,0.185567,0.114551,0.115789,0.22807,0.159091,0.074856,0.078224,0.097046,0.169666,0.124694,0.163522,0.0,0.114754,0.12478,0.090147,0.141079,0.157895,0.0,0.18451,0.0,0.132479,0.143847,0.091703,0.075269,0.0,0.09127,0.0,0.1875,0.151515,0.065375,0.0,0.152648,0.054054,0.12069,0.182109,0.103527,0.143911,0.075472,0.0,0.188119,0.118421,0.037182,0.127923,0.126904,0.0,0.0,0.0,0.0,0.0,0.076923,0.716867,1.0,0.09407,0.0,0.181818,0.15007,0.067821,0.104869,0.041667,0.092233,0.125926,0.0,0.0,0.358025,0.0,0.117647,0.264108,0.139601,0.0,0.097046,0.450777,0.075269,0.1101,0.076389,0.101974,0.116667,0.21875,0.167048,0.0,0.0,0.139073,0.111111,0.100363,0.0,0.185309,0.091703,0.148649,0.163636,0.0,0.146667,0.120879,0.053678,0.105691,0.107544,0.174652,0.189024,0.0,0.113402,0.247166,0.0,0.128748,0.09405,0.189516,0.178248,0.101695,0.12766,0.093117,0.139241,0.116173,0.681682,0.132479
Ledipasvir,0.163895,0.091127,0.064073,0.064073,0.101266,0.265678,0.319018,0.414254,0.235722,0.310133,0.238739,0.215054,0.091754,0.163311,0.140025,0.137163,0.055046,0.09027,0.294118,0.561033,0.267916,0.0,0.233032,0.173184,0.128641,0.0,0.206313,0.17713,0.091549,0.122685,0.545741,0.215909,0.056911,0.068075,0.0,0.133412,0.188571,0.273408,0.147541,0.074589,0.0,0.254089,0.0,0.088993,0.089015,0.266055,0.223744,0.135574,0.0,0.133758,0.093936,0.195929,0.23494,0.291419,0.0,0.0,0.0,0.0,0.0,0.068884,0.079295,0.09407,1.0,0.0,0.193581,0.302966,0.244589,0.158749,0.078199,0.044957,0.214953,0.161677,0.0,0.116279,0.0,0.258094,0.172914,0.037132,0.0,0.088993,0.1188,0.0,0.52479,0.183908,0.15508,0.223103,0.179386,0.08747,0.189931,0.1125,0.331237,0.383442,0.270452,0.0,0.206897,0.056911,0.068525,0.155116,0.309795,0.272545,0.092637,0.098131,0.179654,0.165254,0.153846,0.187625,0.0,0.08945,0.126761,0.0,0.162791,0.172249,0.168224,0.170108,0.203282,0.651685,0.095732,0.261261,0.107011,0.092342,0.090487
Leronlimab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Letermovir,0.157718,0.093474,0.109185,0.109185,0.0,0.184971,0.145475,0.17506,0.369863,0.294118,0.232877,0.149111,0.136364,0.145038,0.109155,0.148649,0.032787,0.13879,0.232057,0.205098,0.174863,0.0,0.286174,0.013333,0.126761,0.0,0.226415,0.237785,0.13879,0.172414,0.225337,0.373239,0.165414,0.148148,0.0,0.143345,0.325088,0.207675,0.068111,0.072797,0.0,0.174863,0.040816,0.09029,0.155914,0.187364,0.2,0.2,0.0,0.147228,0.162362,0.181818,0.289438,0.205882,0.0,0.0,0.0,0.0,0.0,0.051724,0.157718,0.137026,0.193581,0.0,1.0,0.360347,0.202797,0.234783,0.176471,0.151515,0.275362,0.225225,0.0,0.0,0.0,0.213152,0.082803,0.092437,0.0,0.12478,0.216458,0.061224,0.215971,0.25,0.244094,0.097222,0.211306,0.057047,0.295337,0.0,0.208385,0.26615,0.213192,0.0,0.170663,0.143911,0.057047,0.117647,0.34375,0.140861,0.141304,0.12069,0.208459,0.094595,0.162483,0.282051,0.0,0.164021,0.0,0.0,0.266667,0.083203,0.08067,0.084337,0.112311,0.23302,0.164021,0.153846,0.070175,0.14094,0.136364
Lopinavir,0.070381,0.047619,0.086262,0.086262,0.0,0.412151,0.207898,0.463415,0.320225,0.295597,0.263001,0.187584,0.055046,0.151603,0.181658,0.247834,0.075441,0.05919,0.447903,0.293413,0.386749,0.0,0.257485,0.076716,0.060842,0.0,0.283255,0.149425,0.05919,0.132075,0.339188,0.303657,0.03125,0.03125,0.0,0.028986,0.278317,0.229236,0.081481,0.086957,0.0,0.384615,0.0,0.091493,0.051402,0.271091,0.24714,0.265165,0.0,0.174312,0.043614,0.195841,0.469265,0.282828,0.0,0.0,0.0,0.0,0.0,0.031746,0.175523,0.153305,0.290661,0.0,0.360347,1.0,0.244813,0.077586,0.170213,0.12963,0.464968,0.234991,0.0,0.099071,0.0,0.305882,0.165049,0.064639,0.0,0.091493,0.176471,0.0,0.270718,0.226415,0.209913,0.276923,0.208226,0.041991,0.25,0.044046,0.48688,0.389646,0.235566,0.0,0.183673,0.061093,0.0,0.167883,0.226158,0.25,0.060127,0.098726,0.208633,0.088348,0.081081,0.271989,0.0,0.055807,0.230503,0.0,0.171303,0.131783,0.162791,0.123059,0.257344,0.32321,0.029412,0.229947,0.126516,0.198003,0.058282
Maraviroc,0.192661,0.10687,0.102941,0.102941,0.173913,0.262136,0.263158,0.206675,0.191136,0.392962,0.343805,0.225115,0.200787,0.097372,0.130268,0.176471,0.111111,0.181102,0.222222,0.246883,0.263482,0.0,0.243863,0.188119,0.162791,0.031097,0.293706,0.204013,0.202405,0.13879,0.269488,0.172742,0.186094,0.130604,0.0,0.17757,0.181364,0.313776,0.116838,0.104034,0.0,0.246201,0.0,0.119403,0.0691,0.271186,0.299871,0.173285,0.0,0.230769,0.168317,0.205534,0.264045,0.203236,0.0,0.0,0.0,0.0,0.0,0.117647,0.076159,0.066282,0.233906,0.0,0.202797,0.239669,1.0,0.247672,0.167002,0.039216,0.327014,0.219048,0.0,0.223301,0.0,0.262255,0.09029,0.021277,0.0,0.145038,0.252446,0.0,0.217228,0.232394,0.209677,0.221498,0.168478,0.191919,0.187291,0.191489,0.230366,0.253333,0.261146,0.0,0.299342,0.186094,0.166008,0.241379,0.229385,0.268556,0.187123,0.115174,0.231767,0.107914,0.098039,0.246377,0.0,0.176471,0.25498,0.0,0.204013,0.132404,0.14726,0.11399,0.256345,0.293984,0.158879,0.252927,0.180124,0.077441,0.203156
Maribavir,0.240695,0.242775,0.139241,0.139241,0.0,0.133094,0.167147,0.115819,0.201354,0.169591,0.23506,0.094276,0.373134,0.230769,0.189189,0.317204,0.242938,0.401869,0.099476,0.101036,0.177504,0.0,0.191406,0.073446,0.424051,0.105991,0.282609,0.160896,0.428571,0.209877,0.167453,0.311111,0.414474,0.339564,0.0,0.286863,0.222707,0.218837,0.126126,0.182109,0.0,0.087662,0.0,0.29683,0.092985,0.185771,0.182944,0.37741,0.0,0.151685,0.442623,0.239892,0.150307,0.202312,0.0,0.0,0.0,0.0,0.0,0.346154,0.106195,0.104869,0.142857,0.0,0.213675,0.077586,0.247672,1.0,0.155914,0.0,0.212654,0.136891,0.0,0.103448,0.0,0.073171,0.076923,0.0,0.0,0.226158,0.183575,0.0,0.113262,0.143451,0.214575,0.151631,0.344697,0.396825,0.247216,0.073298,0.106443,0.17037,0.186441,0.0,0.385281,0.356467,0.396825,0.146881,0.131757,0.198786,0.410256,0.164557,0.198428,0.137615,0.121951,0.07089,0.0,0.362319,0.0,0.0,0.207627,0.179245,0.3,0.11811,0.122995,0.145833,0.492063,0.15869,0.423729,0.108597,0.337209
Metisazone,0.138889,0.176471,0.107692,0.107692,0.0,0.173913,0.073025,0.076923,0.24498,0.136,0.185682,0.0,0.167192,0.154791,0.151316,0.298701,0.060606,0.176471,0.080692,0.095101,0.10687,0.0,0.189931,0.162228,0.192053,0.0,0.262626,0.105991,0.168831,0.298701,0.06383,0.133787,0.156463,0.156463,0.0,0.147059,0.093023,0.101813,0.123288,0.037037,0.0,0.16,0.0,0.165049,0.08209,0.148936,0.156156,0.138889,0.0,0.25,0.151316,0.37037,0.161972,0.06264,0.0,0.0,0.0,0.0,0.0,0.064516,0.051282,0.041667,0.078199,0.0,0.176471,0.170213,0.167002,0.155914,1.0,0.074074,0.109057,0.204819,0.0,0.0,0.0,0.153285,0.0,0.0,0.0,0.165049,0.052632,0.0,0.075051,0.167513,0.169725,0.085106,0.105169,0.0,0.138015,0.0,0.086957,0.136364,0.131222,0.0,0.120163,0.188811,0.054217,0.188119,0.115385,0.095462,0.182432,0.128049,0.127983,0.070707,0.061947,0.137615,0.0,0.165644,0.0,0.0,0.140143,0.142061,0.134565,0.072664,0.146789,0.142132,0.183801,0.143251,0.064516,0.052632,0.170886
Moroxydine,0.028571,0.0,0.0,0.0,0.0,0.086475,0.073718,0.0,0.146881,0.074919,0.021277,0.078224,0.0,0.0,0.0,0.0,0.0,0.0,0.107595,0.056548,0.077236,0.0,0.157635,0.02381,0.033333,0.0,0.139241,0.0,0.0,0.029412,0.046798,0.0,0.0,0.0,0.0,0.0,0.0,0.066282,0.0,0.0,0.0,0.07943,0.0,0.0,0.0,0.052632,0.069837,0.0,0.0,0.0,0.0,0.0,0.083481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118012,0.092233,0.044957,0.0,0.151515,0.12963,0.039216,0.0,0.074074,1.0,0.072125,0.029412,0.0,0.0,0.0,0.066282,0.0,0.0,0.0,0.0,0.121795,0.0,0.049896,0.0,0.045455,0.0,0.0,0.0,0.0,0.0,0.0,0.060359,0.057402,0.0,0.0,0.0,0.071429,0.0,0.0,0.060359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067073,0.046798,0.0,0.06412,0.037037,0.121795,0.0
Nelfinavir,0.15917,0.034483,0.033333,0.033333,0.149897,0.426025,0.26943,0.405564,0.290323,0.33425,0.338983,0.293375,0.135135,0.237288,0.125461,0.176471,0.117216,0.117117,0.318538,0.29771,0.443299,0.0,0.270358,0.131498,0.103203,0.0,0.338028,0.178344,0.154562,0.161972,0.266376,0.225806,0.034483,0.083032,0.0,0.146384,0.208609,0.31744,0.0859,0.099796,0.0,0.395349,0.0,0.083916,0.100917,0.364796,0.290727,0.17338,0.0,0.155378,0.140187,0.17757,0.481481,0.224696,0.0,0.0,0.0,0.0,0.0,0.084559,0.145299,0.125926,0.214953,0.0,0.275362,0.464968,0.327014,0.212654,0.109057,0.072125,1.0,0.22905,0.0,0.128472,0.0,0.319095,0.085526,0.0,0.0,0.093474,0.222222,0.0,0.22905,0.176471,0.237942,0.350877,0.241185,0.085409,0.208609,0.124031,0.35402,0.652324,0.22276,0.0,0.214393,0.065719,0.095153,0.170886,0.174825,0.293801,0.159696,0.111111,0.205564,0.086657,0.079046,0.197279,0.0,0.149013,0.164875,0.0,0.302817,0.075441,0.074766,0.079755,0.289911,0.256771,0.064892,0.270396,0.109023,0.147826,0.168831
Nevirapine,0.236842,0.212121,0.196581,0.196581,0.090909,0.209677,0.162444,0.156773,0.212121,0.195652,0.201629,0.033333,0.201117,0.226852,0.15493,0.239892,0.178161,0.153846,0.173913,0.195335,0.19403,0.0,0.255411,0.093117,0.257485,0.0,0.264108,0.313869,0.206897,0.295775,0.149701,0.181435,0.136364,0.166181,0.0,0.206434,0.247059,0.174033,0.140777,0.164384,0.0,0.19403,0.0,0.2,0.187384,0.180461,0.16737,0.233596,0.0,0.202532,0.184971,0.365079,0.241379,0.168981,0.0,0.0,0.0,0.0,0.0,0.174699,0.0,0.0,0.150652,0.0,0.225225,0.214165,0.219048,0.136891,0.204819,0.029412,0.208791,1.0,0.0,0.039261,0.0,0.197183,0.0,0.0,0.0,0.157025,0.038375,0.0,0.126761,0.223529,0.231102,0.202532,0.166381,0.096257,0.274038,0.085714,0.169231,0.19685,0.223565,0.0,0.164122,0.162791,0.096257,0.232877,0.300813,0.185647,0.216617,0.191136,0.218487,0.132438,0.116751,0.144781,0.0,0.195652,0.071429,0.0,0.192053,0.175,0.13164,0.091493,0.148936,0.175031,0.257143,0.139565,0.21118,0.0,0.204482
Ombitasvir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oseltamivir,0.15869,0.0,0.0,0.0,0.211073,0.143411,0.214511,0.138088,0.078905,0.103048,0.178862,0.177606,0.122995,0.226415,0.19403,0.092233,0.108033,0.123288,0.206637,0.139241,0.137184,0.0,0.104651,0.157205,0.120219,0.094527,0.190476,0.0,0.213018,0.102941,0.116334,0.049618,0.137026,0.048387,0.0,0.113924,0.0,0.219158,0.170483,0.089109,0.0,0.133094,0.0,0.105121,0.162362,0.081761,0.111111,0.113801,0.0,0.078717,0.129944,0.044776,0.197302,0.103753,0.0,0.0,0.0,0.0,0.0,0.049724,0.32948,0.358025,0.129412,0.0,0.0,0.173554,0.223301,0.103448,0.0,0.0,0.160714,0.06383,0.0,1.0,0.0,0.096606,0.171875,0.155378,0.0,0.076115,0.315789,0.0,0.120081,0.0,0.124498,0.124498,0.224863,0.230769,0.0,0.163522,0.223491,0.111111,0.103448,0.0,0.181102,0.137026,0.136364,0.188341,0.0,0.170047,0.129944,0.099476,0.194969,0.132812,0.116838,0.17338,0.0,0.119792,0.260745,0.0,0.252955,0.161616,0.185185,0.12605,0.156069,0.116334,0.125654,0.09589,0.130952,0.419558,0.147541
Palivizumab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paritaprevir,0.176471,0.082192,0.08,0.08,0.109467,0.261146,0.484772,0.15,0.222857,0.35514,0.276042,0.171694,0.108108,0.181001,0.178203,0.131824,0.06383,0.072848,0.275239,0.350446,0.213192,0.0,0.286472,0.156716,0.108071,0.0,0.275168,0.115108,0.126565,0.165981,0.309408,0.193467,0.122159,0.088154,0.0,0.100917,0.181001,0.341991,0.088608,0.119632,0.0,0.243961,0.0,0.08,0.17849,0.393805,0.45933,0.130092,0.0,0.078431,0.076716,0.188406,0.365314,0.140994,0.0,0.0,0.0,0.0,0.0,0.081831,0.131579,0.117647,0.258094,0.0,0.214529,0.30742,0.262255,0.073171,0.139971,0.066282,0.319095,0.197183,0.0,0.096606,0.0,1.0,0.05198,0.0,0.0,0.091644,0.105332,0.0,0.229642,0.134663,0.163636,0.23871,0.184939,0.065246,0.163085,0.10951,0.260965,0.312785,0.56658,0.0,0.116071,0.133429,0.048493,0.215686,0.221827,0.338766,0.129944,0.078947,0.102273,0.065217,0.060606,0.228473,0.0,0.123139,0.12,0.0,0.15528,0.075,0.083744,0.067864,0.451028,0.294343,0.077922,0.37931,0.137026,0.133333,0.097724
Peginterferon alfa-2a,0.0,0.101928,0.074169,0.074169,0.0,0.265823,0.155556,0.233766,0.046154,0.10951,0.096654,0.154562,0.0,0.019231,0.168091,0.138614,0.073298,0.0,0.180758,0.211226,0.203008,0.0,0.06422,0.073559,0.0,0.147959,0.102362,0.0,0.0,0.0,0.176471,0.117764,0.0,0.0,0.0,0.0,0.0,0.167582,0.205128,0.14094,0.0,0.245136,0.0,0.09375,0.174312,0.088861,0.144828,0.189873,0.0,0.12426,0.0,0.043689,0.073025,0.018145,0.0,0.0,0.0,0.0,0.0,0.0,0.063348,0.264108,0.172914,0.0,0.082803,0.165049,0.09029,0.076923,0.0,0.0,0.085526,0.0,0.0,0.171875,0.0,0.05198,1.0,0.25,0.0,0.09375,0.062356,0.0,0.171548,0.056911,0.135458,0.135458,0.091493,0.090426,0.0,0.127596,0.165644,0.091954,0.120332,0.0,0.101083,0.0,0.0,0.102041,0.0,0.109489,0.0,0.069652,0.128405,0.175299,0.153846,0.07425,0.0,0.0,0.094891,0.0,0.077844,0.192893,0.113636,0.20354,0.096076,0.204517,0.0,0.123737,0.0,0.059908,0.0
Peginterferon alfa-2b,0.0,0.182266,0.125541,0.125541,0.0,0.145833,0.082024,0.050788,0.061224,0.044521,0.0,0.0,0.0,0.078717,0.041667,0.034483,0.082251,0.0,0.062092,0.045959,0.085973,0.0,0.0,0.0,0.0,0.035714,0.0,0.0,0.0,0.136364,0.037613,0.123596,0.0,0.0,0.0,0.0,0.0,0.074766,0.143911,0.0,0.0,0.132075,0.160714,0.078838,0.137441,0.053412,0.072,0.033333,0.0,0.089109,0.0,0.0,0.0,0.021635,0.0,0.0,0.0,0.0,0.0,0.0,0.174242,0.139601,0.037132,0.0,0.092437,0.064639,0.021277,0.0,0.0,0.0,0.0,0.0,0.0,0.155378,0.0,0.0,0.25,1.0,0.0,0.04,0.06383,0.147541,0.052632,0.084337,0.126374,0.0,0.081081,0.0,0.0,0.0,0.067616,0.0,0.041667,0.0,0.092233,0.0,0.0,0.0,0.0,0.016949,0.0,0.075697,0.129032,0.128609,0.108647,0.056911,0.0,0.0,0.111111,0.0,0.11437,0.23506,0.174377,0.083333,0.058632,0.065246,0.0,0.065693,0.0,0.06383,0.0
Peginterferon alfacon-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penciclovir,0.616541,0.558442,0.450382,0.450382,0.0,0.083172,0.042254,0.097561,0.084746,0.106061,0.141079,0.045045,0.287129,0.123853,0.271478,0.193182,0.275862,0.296928,0.112717,0.112696,0.077199,0.0,0.120332,0.077586,0.496063,0.076115,0.150442,0.179245,0.386861,0.111111,0.121951,0.203704,0.348315,0.309091,0.0,0.673469,0.113636,0.08871,0.616541,0.2,0.0,0.077199,0.0,0.652174,0.0,0.07513,0.089655,0.221591,0.0,0.118421,0.30742,0.382979,0.131448,0.150652,0.0,0.0,0.0,0.0,0.0,0.320755,0.096939,0.097046,0.088993,0.0,0.107266,0.091493,0.145038,0.226158,0.165049,0.0,0.093474,0.30031,0.0,0.076115,0.0,0.08,0.09375,0.04,0.0,1.0,0.099476,0.0,0.102041,0.137441,0.055777,0.122881,0.155235,0.37037,0.108597,0.0,0.104294,0.09589,0.081461,0.0,0.133201,0.400778,0.326165,0.0,0.207243,0.16129,0.401515,0.477273,0.304348,0.29717,0.255061,0.09777,0.0,0.360544,0.090426,0.0,0.106195,0.34375,0.551724,0.355932,0.026667,0.095238,0.619433,0.082803,0.367188,0.099476,0.368421
Peramivir,0.105882,0.0,0.0,0.0,0.254355,0.136364,0.103253,0.149773,0.014925,0.101574,0.159136,0.196911,0.128609,0.255924,0.19186,0.216931,0.051282,0.206897,0.168831,0.11413,0.134752,0.0,0.086142,0.2529,0.09375,0.193634,0.145194,0.0,0.346154,0.038375,0.113689,0.169102,0.0,0.025641,0.0,0.145038,0.0,0.150203,0.087963,0.086262,0.0,0.126761,0.074074,0.05,0.099656,0.131339,0.182336,0.180905,0.0,0.347518,0.135734,0.069652,0.163166,0.174419,0.0,0.0,0.0,0.0,0.0,0.026316,0.535948,0.450777,0.141176,0.0,0.17851,0.176471,0.174312,0.183575,0.052632,0.121795,0.18705,0.038375,0.0,0.315789,0.0,0.147099,0.176471,0.06383,0.0,0.099476,1.0,0.107011,0.070746,0.0,0.091954,0.104651,0.199295,0.322581,0.0,0.279461,0.106259,0.160305,0.114168,0.0,0.131725,0.0,0.231231,0.210762,0.0,0.206349,0.135734,0.046229,0.066176,0.033275,0.105528,0.148649,0.0,0.12532,0.229508,0.0,0.018868,0.105882,0.042553,0.05919,0.126565,0.094641,0.12532,0.108344,0.101695,0.554054,0.149733
Phosphonoacetic Acid,0.0,0.0,0.181818,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075269,0.0,0.0,0.0,0.0,0.0,0.043873,0.0,0.0,0.0,0.066667,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.151832,0.0,0.0,0.0,0.034063,0.0,0.0,0.0,0.0,0.0,0.0,0.099291,0.075269,0.0,0.0,0.061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147541,0.0,0.0,0.107011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.0,0.091371,0.126126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102941,0.0
Pibrentasvir,0.111111,0.077236,0.055718,0.055718,0.068063,0.195446,0.264267,0.332083,0.223744,0.302368,0.206564,0.191806,0.073892,0.086758,0.10766,0.105627,0.086294,0.047527,0.248938,0.524202,0.195952,0.0,0.176471,0.090909,0.109969,0.0,0.166348,0.157184,0.074627,0.139369,0.53264,0.200787,0.048467,0.057884,0.0,0.10119,0.185259,0.333922,0.136821,0.062699,0.0,0.201479,0.0,0.106557,0.099831,0.125,0.233444,0.104594,0.0,0.11349,0.075377,0.141361,0.211589,0.197991,0.0,0.0,0.0,0.0,0.0,0.056338,0.087584,0.109091,0.513463,0.0,0.218182,0.235452,0.214953,0.125245,0.075051,0.049896,0.239437,0.137056,0.0,0.120081,0.0,0.254153,0.160622,0.052632,0.0,0.102041,0.070746,0.0,1.0,0.150097,0.157103,0.216617,0.184792,0.058358,0.18408,0.07772,0.246708,0.281588,0.176,0.0,0.16407,0.048467,0.038835,0.104972,0.176471,0.242345,0.075377,0.104357,0.203883,0.177024,0.166078,0.114809,0.0,0.073171,0.079767,0.0,0.166181,0.134538,0.154618,0.154177,0.190283,0.488971,0.055662,0.209992,0.079137,0.076923,0.073892
